TimePeriod,GeoType,GeoID,GeoRank,Geography,10th percentile mcg/m3,90th percentile mcg/m3,Mean mcg/m3
Annual Average 2022,UHF34,210,3,Coney Island - Sheepshead Bay,5.2,5.6,5.4
Annual Average 2022,UHF34,211,3,Williamsburg - Bushwick,5.9,6.9,6.4
Annual Average 2022,UHF34,301,3,Washington Heights,6.1,6.5,6.3
Annual Average 2022,UHF34,302,3,Central Harlem - Morningside Heights,6.1,6.4,6.2
Annual Average 2022,UHF34,303,3,East Harlem,6.0,6.3,6.1
Annual Average 2022,UHF34,304,3,Upper West Side,5.9,6.3,6.1
Annual Average 2022,UHF34,401,3,Long Island City - Astoria,6.0,6.7,6.4
Annual Average 2022,UHF34,402,3,West Queens,5.8,6.7,6.2
Annual Average 2022,UHF34,403,3,Flushing - Clearview,5.5,6.4,5.9
Annual Average 2022,UHF34,405,3,Ridgewood - Forest Hills,5.4,6.1,5.8
Annual Average 2022,UHF34,407,3,Southwest Queens,5.3,5.8,5.5
Annual Average 2022,UHF34,408,3,Jamaica,5.3,6.1,5.6
Annual Average 2022,UHF34,409,3,Southeast Queens,5.2,5.5,5.4
Annual Average 2022,UHF34,410,3,Rockaways,4.9,5.2,5.0
Annual Average 2022,UHF34,305307,3,Upper East Side-Gramercy,6.1,8.8,7.1
Annual Average 2022,UHF34,306308,3,Chelsea-Village  ,7.0,9.5,8.3
Annual Average 2022,UHF34,309310,3,Union Square-Lower Manhattan,6.2,8.9,7.3
Annual Average 2022,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,5.4,5.8,5.6
Annual Average 2022,UHF34,501502,3,Northern SI,5.2,5.6,5.4
Annual Average 2022,UHF34,503504,3,Southern SI,4.9,5.3,5.1
Annual Average 2022,UHF34,105106107,3,South Bronx,5.8,6.6,6.2
Annual Average 2022,Borough,1,1,Bronx,5.8,6.4,6.1
Annual Average 2022,Borough,2,1,Brooklyn,5.3,6.5,5.8
Annual Average 2022,Borough,3,1,Manhattan,6.1,8.8,7.0
Annual Average 2022,Borough,4,1,Queens,5.2,6.4,5.7
Annual Average 2022,Borough,5,1,Staten Island,4.9,5.5,5.2
Annual Average 2022,Citywide,1,0,New York City,5.1,6.5,5.8
Summer 2022,CD,101,6,Financial District (CD1),7.1,7.8,7.4
Summer 2022,CD,102,6,Greenwich Village and Soho (CD2),7.8,8.7,8.3
Summer 2022,CD,103,6,Lower East Side and Chinatown (CD3),6.7,8.3,7.4
Summer 2022,CD,104,6,Clinton and Chelsea (CD4),7.4,8.7,8.0
Summer 2022,CD,105,6,Midtown (CD5),8.2,9.1,8.7
Summer 2022,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),7.2,8.3,7.7
Summer 2022,CD,107,6,Upper West Side (CD7),6.9,7.1,7.0
Summer 2022,CD,108,6,Upper East Side (CD8),6.9,7.4,7.1
Summer 2022,CD,109,6,Morningside Heights and Hamilton Heights (CD9),7.0,7.3,7.1
Summer 2022,CD,110,6,Central Harlem (CD10),7.0,7.2,7.1
Summer 2022,CD,111,6,East Harlem (CD11),6.9,7.1,7.1
Summer 2022,CD,112,6,Washington Heights and Inwood (CD12),7.1,7.5,7.2
Summer 2022,CD,201,6,Mott Haven and Melrose (CD1),6.9,7.6,7.2
Summer 2022,CD,202,6,Hunts Point and Longwood (CD2),7.2,7.7,7.5
Summer 2022,CD,203,6,Morrisania and Crotona (CD3),7.1,7.4,7.2
Summer 2022,CD,204,6,Highbridge and Concourse (CD4),6.8,7.3,7.1
Summer 2022,CD,205,6,Fordham and University Heights (CD5),6.9,7.3,7.1
Summer 2022,CD,206,6,Belmont and East Tremont (CD6),7.1,7.4,7.2
Summer 2022,CD,207,6,Kingsbridge Heights and Bedford (CD7),7.1,7.2,7.2
Summer 2022,CD,208,6,Riverdale and Fieldston (CD8),7.1,7.2,7.1
Summer 2022,CD,209,6,Parkchester and Soundview (CD9),6.8,7.4,7.1
Summer 2022,CD,210,6,Throgs Neck and Co-op City (CD10),6.6,7.3,6.9
